step,transaction_id,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,country,hour,isFraud
16,TXN0000016,DEBIT,32.28,C6159230,28962.58,28930.300000000003,C5017343,17130.69,97198.09,DE,2,0
17,TXN0000017,PAYMENT,458.75,C9937326,64195.73,63736.98,M3109911,33025.39,105534.76,NG,17,0
18,TXN0000018,CASH_OUT,39.8,C4553384,356474.49,356434.69,C4374754,87620.02,103515.17,US,21,0
19,TXN0000019,PAYMENT,14.52,C4769795,169042.78,169028.26,M2074176,117688.02,1438.17,CN,7,0
20,TXN0000020,CASH_OUT,4588.45,C1987737,33700.16,29111.710000000003,C4841005,47600.93,133795.56,US,10,0
21,TXN0000021,PAYMENT,155.78,C3219824,121498.62,121342.84,M8930103,38081.98,19386.16,NG,13,0
22,TXN0000022,TRANSFER,280.07,C8106470,233512.33,233232.25999999998,C7897151,129235.95,12122.53,MX,21,0
23,TXN0000023,CASH_OUT,14.16,C2833230,95795.04,95780.87999999999,C5171761,55709.03,49961.29,RU,4,0
24,TXN0000024,CASH_IN,82.37,C8434500,25294.16,25211.79,C2642635,193799.25,185273.4,KE,0,0
25,TXN0000025,DEBIT,305.47,C3790237,242820.56,242515.09,C7818496,180488.57,32927.42,US,12,0
26,TXN0000026,PAYMENT,24.48,C7550190,463259.04,463234.56,M5449368,84601.5,191463.53,GB,9,0
27,TXN0000027,CASH_IN,518.74,C9164991,94948.93,94430.18999999999,C3597059,115836.06,108439.04,US,1,0
28,TXN0000028,CASH_OUT,73.61,C1959074,292088.8,292015.19,C1841248,192155.78,16022.29,RU,16,0
29,TXN0000029,PAYMENT,136.54,C2140194,201887.78,201751.24,M4946066,49243.07,118903.83,KE,18,0
30,TXN0000030,CASH_OUT,73.45,C8033426,158184.92,158111.47,C9770838,47737.19,79157.17,US,21,0
31,TXN0000031,CASH_OUT,9942.33,C6033115,158088.6,148146.27000000002,C8670955,124231.85,112598.73,MX,2,1
32,TXN0000032,PAYMENT,238.17,C4576135,132600.21,132362.03999999998,M9487336,175854.05,73905.42,UA,2,0
33,TXN0000033,PAYMENT,29.51,C6075395,3911.55,3882.04,M9874152,186351.21,20717.3,GB,9,0
34,TXN0000034,DEBIT,1267.87,C5437001,444856.35,443588.48,C2936571,54469.64,120965.97,MX,4,0
35,TXN0000035,CASH_OUT,21.29,C4415796,252704.53,252683.24,C5428914,84715.15,55336.04,US,1,0
36,TXN0000036,PAYMENT,371.57,C3194789,80790.99,80419.42,M5394880,85537.38,1933.94,NG,22,0
37,TXN0000037,PAYMENT,4.86,C3500715,417297.51,417292.65,M1604451,85957.34,8365.77,CN,4,0
38,TXN0000038,TRANSFER,17.18,C1669324,105038.27,105021.09000000001,C7003042,111976.7,174942.54,US,3,0
39,TXN0000039,CASH_IN,362.75,C3592974,432302.85,431940.1,C4971793,176283.24,4957.27,KE,5,0
40,TXN0000040,CASH_OUT,1071.63,C6573147,401117.57,400045.94,C7907400,157474.9,21619.13,DE,7,0
41,TXN0000041,DEBIT,344.72,C8896868,99786.42,99441.7,C4731818,61038.17,159069.1,UA,11,0
42,TXN0000042,PAYMENT,194.16,C1397023,199232.99,199038.83,M4240180,193377.82,55825.0,US,2,0
43,TXN0000043,CASH_OUT,133.99,C7705490,165574.93,165440.94,C9996207,192506.86,53093.27,US,8,0
44,TXN0000044,PAYMENT,12.72,C8290770,364272.53,364259.81000000006,M6799667,196847.17,23129.16,US,19,0
45,TXN0000045,DEBIT,57.99,C4188992,22193.27,22135.28,C5273534,185115.03,107690.4,NG,16,0
46,TXN0000046,CASH_OUT,97.39,C4305700,215648.7,215551.31,C7110622,132677.5,24925.06,KE,10,0
47,TXN0000047,CASH_IN,2026.86,C9508103,333446.45,331419.59,C6188935,59131.04,25457.56,US,22,0
48,TXN0000048,TRANSFER,486.5,C7361002,307757.46,307270.96,C3919694,60774.99,42036.54,US,17,0
49,TXN0000049,DEBIT,7.2,C6406444,220893.01,220885.81,C8801207,94637.24,180236.17,BR,16,0
50,TXN0000050,DEBIT,467.86,C3846949,141893.2,141425.34000000003,C2422633,67037.65,163684.69,BR,19,0
51,TXN0000051,DEBIT,113.28,C6207974,403281.45,403168.17,C4768844,48968.51,95027.27,US,1,0
52,TXN0000052,DEBIT,63.19,C2221854,207220.51,207157.32,C8640615,143669.18,76795.69,CN,6,0
53,TXN0000053,TRANSFER,831.6,C3475836,446329.91,445498.31,C1093026,43768.23,160821.97,DE,3,0
54,TXN0000054,CASH_OUT,1923.69,C8793853,278702.9,276779.21,C1842524,160283.32,133515.55,UA,3,0
55,TXN0000055,CASH_IN,1575.87,C6323376,306326.16,304750.29,C8425149,85348.15,181370.95,MX,16,0
56,TXN0000056,TRANSFER,45.68,C3670226,225034.88,224989.2,C8963715,155534.97,96919.4,MX,20,0
57,TXN0000057,PAYMENT,131.84,C8379837,356772.43,356640.58999999997,M2299954,63941.91,108030.44,US,10,0
58,TXN0000058,PAYMENT,474.63,C4879923,346974.91,346500.27999999997,M7426265,82973.58,66176.28,MX,2,0
59,TXN0000059,TRANSFER,1721.74,C2044645,416445.58,414723.84,C4470105,3906.39,176131.33,US,18,0
60,TXN0000060,CASH_OUT,93.85,C9002392,471370.83,471276.98000000004,C1098919,190686.07,83804.26,US,12,0
61,TXN0000061,CASH_OUT,168.79,C4700025,109710.82,109542.03000000001,C9191131,133774.72,159628.46,NG,0,0
62,TXN0000062,CASH_OUT,26.77,C8841505,490360.99,490334.22,C3141239,132599.95,16789.49,RU,12,0
63,TXN0000063,TRANSFER,22.37,C8746014,25142.32,25119.95,C4048907,67500.11,175928.0,US,6,0
64,TXN0000064,PAYMENT,1242.71,C8072684,417455.46,416212.75,M5232413,107883.81,199981.57,NG,23,0
65,TXN0000065,TRANSFER,3686.67,C2151225,377116.6,373429.93,C1675419,124267.13,47708.99,KE,6,0
66,TXN0000066,TRANSFER,211.87,C2919136,232516.99,232305.12,C4656838,121449.5,149585.13,US,11,0
67,TXN0000067,PAYMENT,1820.86,C3747534,54049.37,52228.51,M6218367,115159.35,181605.23,US,9,0
68,TXN0000068,TRANSFER,504.35,C4327421,296048.93,295544.58,C2275009,154496.18,170058.65,DE,7,0
69,TXN0000069,CASH_OUT,67.34,C3030966,173601.88,173534.54,C1689025,129508.65,2530.43,NG,11,0
70,TXN0000070,TRANSFER,504.11,C9224219,216761.7,216257.59000000003,C2770648,87097.43,146759.06,US,14,0
71,TXN0000071,CASH_IN,5303.24,C5531230,232436.89,227133.65000000002,C9111742,53679.11,170342.63,DE,18,0
72,TXN0000072,DEBIT,227.77,C2453962,440815.59,440587.82,C5679639,113969.93,133637.69,US,14,0
73,TXN0000073,TRANSFER,5593.09,C9293086,90919.93,85326.84,C6452832,176064.0,140236.75,US,8,0
74,TXN0000074,PAYMENT,1.3,C1170307,474031.29,474029.99,M9667566,81285.62,111035.24,US,23,0
75,TXN0000075,PAYMENT,1266.24,C8987516,224087.27,222821.03,M9234615,44319.28,138357.43,US,9,0
76,TXN0000076,TRANSFER,291.22,C7191135,276736.48,276445.26,C8939993,70362.11,90749.05,US,23,0
77,TXN0000077,TRANSFER,134.56,C4867786,360642.17,360507.61,C3024269,152437.92,37029.97,US,23,0
78,TXN0000078,PAYMENT,293.98,C9123504,362292.5,361998.52,M5638893,119358.15,196102.13,KE,16,0
79,TXN0000079,DEBIT,4.59,C5970190,180440.53,180435.94,C4816534,106827.02,54862.27,US,22,0
80,TXN0000080,CASH_IN,157.69,C5901239,318934.83,318777.14,C3118618,174543.95,114812.84,MX,3,0
81,TXN0000081,TRANSFER,499.81,C8389840,92181.84,91682.03,C6716097,13068.69,98349.31,US,15,0
82,TXN0000082,CASH_OUT,4702.21,C1899411,74598.79,69896.57999999999,C3545556,49638.19,111614.61,CN,9,0
83,TXN0000083,TRANSFER,86.79,C4786401,190189.01,190102.22,C9767312,198006.25,61076.05,UA,9,0
84,TXN0000084,CASH_OUT,48.57,C2664863,312757.52,312708.95,C4486102,34762.71,15012.97,US,2,0
85,TXN0000085,PAYMENT,89.7,C8558197,145629.64,145539.94,M8883823,56543.67,171921.35,US,22,0
86,TXN0000086,PAYMENT,1526.61,C4916201,393914.01,392387.4,M5438490,160781.14,39563.84,CN,21,0
87,TXN0000087,PAYMENT,472.25,C4771676,454205.72,453733.47,M3499627,11927.61,158525.71,DE,2,0
88,TXN0000088,CASH_OUT,84.82,C5842082,62176.83,62092.01,C8367772,54449.24,107996.31,BR,22,0
89,TXN0000089,TRANSFER,683.03,C1668752,367266.96,366583.93,C8248238,192382.22,167191.72,CN,0,0
90,TXN0000090,CASH_OUT,297.13,C1348050,288123.49,287826.36,C5521644,130301.9,183214.56,GB,5,0
91,TXN0000091,PAYMENT,1698.14,C8312936,484527.62,482829.48,M9249789,66661.68,134026.7,NG,13,0
92,TXN0000092,DEBIT,60.09,C6533187,346836.84,346776.75,C7906258,162713.21,110019.32,US,12,0
93,TXN0000093,TRANSFER,127.06,C6276722,161636.89,161509.83000000002,C5234550,164985.44,230.21,KE,12,0
94,TXN0000094,DEBIT,111.7,C8750676,27102.04,26990.34,C7933143,151288.63,125081.75,RU,19,0
95,TXN0000095,DEBIT,13.1,C4415140,274609.82,274596.72000000003,C5480460,176169.32,96942.36,UA,14,0
96,TXN0000096,PAYMENT,442.41,C5014745,155375.07,154932.66,M3657144,18641.84,198451.43,US,13,0
97,TXN0000097,CASH_IN,412.45,C8741810,323854.84,323442.39,C2970754,58372.31,141082.33,US,22,0
98,TXN0000098,TRANSFER,247.21,C9094999,121865.45,121618.23999999999,C8922533,119875.52,149258.51,RU,12,0
99,TXN0000099,PAYMENT,153.06,C2171218,386337.57,386184.51,M5634662,186849.68,101547.54,DE,10,0
100,TXN0000100,DEBIT,14.43,C5745250,418737.96,418723.53,C6008935,97928.07,29719.08,CN,21,0
101,TXN0000101,CASH_OUT,105.5,C6790218,275958.71,275853.21,C6577416,173920.34,196154.93,RU,14,0
102,TXN0000102,PAYMENT,123.29,C7425184,428006.49,427883.2,M4918527,148941.03,141045.58,NG,10,0
103,TXN0000103,DEBIT,49.18,C7477326,247664.32,247615.14,C3551903,193070.72,66398.94,US,16,0
104,TXN0000104,PAYMENT,177.23,C8387112,262975.54,262798.31,M2672884,28831.08,174186.59,NG,23,0
105,TXN0000105,CASH_IN,549.0,C2255409,390762.65,390213.65,C8876745,138540.92,129967.33,US,19,0
106,TXN0000106,DEBIT,10639.96,C9952696,477069.8,466429.83999999997,C7375499,174476.6,7179.82,CN,15,0
107,TXN0000107,PAYMENT,346.94,C5821419,373383.18,373036.24,M4816586,152073.94,140778.17,NG,3,0
108,TXN0000108,PAYMENT,409.57,C3791137,451712.03,451302.46,M6024207,58673.56,74968.22,US,1,0
109,TXN0000109,PAYMENT,210.84,C9911492,282964.03,282753.19,M7913081,35013.87,121898.36,GB,5,0
110,TXN0000110,TRANSFER,5.27,C5040453,456414.51,456409.24,C9349470,91914.1,133368.14,US,14,0
111,TXN0000111,DEBIT,232.05,C8805654,338805.44,338573.39,C5825658,189047.13,197530.34,US,14,0
112,TXN0000112,PAYMENT,276.02,C8118722,228417.91,228141.89,M5195951,170667.09,21330.65,US,12,0
113,TXN0000113,TRANSFER,33741.51,C7022335,496346.02,462604.51,C5963914,1619.59,173013.48,US,21,0
114,TXN0000114,DEBIT,166.55,C1822825,416419.45,416252.9,C9333700,121413.0,70464.19,UA,7,0
115,TXN0000115,CASH_OUT,447.24,C5204819,314124.05,313676.81,C3294774,157722.1,6672.91,UA,20,1
116,TXN0000116,TRANSFER,228.28,C3204724,454813.91,454585.62999999995,C2512187,26431.96,107881.55,US,13,0
117,TXN0000117,CASH_IN,23.63,C9906224,456743.49,456719.86,C9418719,182809.79,188837.56,DE,8,0
118,TXN0000118,CASH_IN,2405.82,C5951651,402116.27,399710.45,C6682698,28151.4,193300.04,NG,2,0
119,TXN0000119,DEBIT,1100.88,C7667458,45151.44,44050.560000000005,C7136687,107314.46,90957.21,US,8,0
120,TXN0000120,CASH_OUT,1190.42,C5398338,411208.65,410018.23000000004,C7392547,94295.37,123909.37,KE,3,0
121,TXN0000121,CASH_IN,39.69,C6503032,323826.19,323786.5,C4713925,181877.53,60438.03,CN,14,0
122,TXN0000122,TRANSFER,4046.42,C3345069,473130.77,469084.35000000003,C1760793,46960.01,107509.32,US,15,0
123,TXN0000123,TRANSFER,14.82,C7224540,293670.17,293655.35,C8031780,166738.62,123130.44,MX,13,0
124,TXN0000124,CASH_IN,791.33,C5693260,345140.33,344349.0,C1548888,190111.03,171090.04,US,14,0
125,TXN0000125,PAYMENT,19553.53,C7162857,30275.04,10721.510000000002,M7017548,189802.16,164838.22,US,3,0
126,TXN0000126,PAYMENT,33.75,C4558545,25289.26,25255.51,M1358318,157395.62,41041.12,US,4,0
127,TXN0000127,DEBIT,78.84,C4475523,406526.49,406447.64999999997,C4623062,157728.75,119196.33,US,4,0
128,TXN0000128,PAYMENT,298.66,C3427461,270107.73,269809.07,M3180906,132211.53,5156.03,GB,3,0
129,TXN0000129,PAYMENT,89.39,C4991829,7890.54,7801.15,M6431983,148343.61,105217.11,US,4,0
130,TXN0000130,CASH_OUT,11.01,C8990081,389008.52,388997.51,C8520810,44309.95,123021.37,RU,3,0
131,TXN0000131,CASH_OUT,280.65,C9748499,229021.26,228740.61000000002,C6060517,169459.71,85254.72,KE,1,0
132,TXN0000132,PAYMENT,29.24,C8441741,449633.38,449604.14,M2232969,13136.45,55003.2,US,4,0
133,TXN0000133,CASH_OUT,630.92,C6455706,497313.88,496682.96,C7390515,86039.87,158619.22,RU,14,0
134,TXN0000134,PAYMENT,38.91,C4607488,225777.46,225738.55,M8215376,165483.84,79746.04,US,10,0
135,TXN0000135,CASH_OUT,5430.95,C6243691,156261.79,150830.84,C8159911,94853.58,18244.96,US,4,0
136,TXN0000136,PAYMENT,51.09,C8245685,372294.48,372243.38999999996,M2620082,111274.15,117293.02,US,4,0
137,TXN0000137,CASH_OUT,128.49,C6530541,205404.32,205275.83000000002,C3050700,144212.14,193679.73,DE,13,0
138,TXN0000138,CASH_OUT,1245.18,C6899644,288959.26,287714.08,C2738129,169454.97,70022.8,US,21,0
139,TXN0000139,CASH_OUT,20.87,C2927455,287050.0,287029.13,C5673599,163685.37,122714.66,GB,17,0
140,TXN0000140,CASH_OUT,385.65,C1440466,14476.59,14090.94,C5487028,70204.68,36281.11,US,9,0
141,TXN0000141,PAYMENT,3341.87,C7724045,70937.33,67595.46,M2167449,18351.54,106096.54,CN,0,0
142,TXN0000142,TRANSFER,9.83,C8610913,78704.64,78694.81,C6719285,113518.71,16991.41,US,10,0
143,TXN0000143,PAYMENT,353.99,C3640899,336984.36,336630.37,M1834876,84802.95,121415.2,US,21,0
144,TXN0000144,TRANSFER,411.48,C4616647,56908.75,56497.27,C9595744,118626.85,105386.82,NG,9,0
145,TXN0000145,TRANSFER,1168.7,C4699685,492222.83,491054.13,C7631419,42246.8,27446.96,US,6,0
146,TXN0000146,PAYMENT,20.62,C6504979,3864.95,3844.33,M3013003,25837.14,106516.47,MX,5,0
147,TXN0000147,PAYMENT,17.45,C6941939,198535.59,198518.13999999998,M2209226,3748.31,184232.49,MX,13,0
148,TXN0000148,DEBIT,694.98,C8202195,354749.48,354054.5,C7785090,81006.46,193239.94,NG,3,0
149,TXN0000149,PAYMENT,443.18,C8719145,44064.94,43621.76,M7070880,87135.31,80089.96,DE,7,0
150,TXN0000150,PAYMENT,403.83,C6205543,110786.03,110382.2,M6696087,102096.66,22805.33,GB,2,0
151,TXN0000151,CASH_OUT,489.26,C6861544,363689.55,363200.29,C6890476,29288.84,39454.36,GB,4,0
152,TXN0000152,CASH_OUT,62.8,C2264218,475646.07,475583.27,C3972018,151975.43,89781.05,CN,14,0
153,TXN0000153,CASH_IN,389.36,C6422534,75478.7,75089.34,C6303930,126277.02,159265.94,US,14,0
154,TXN0000154,CASH_OUT,439.72,C6904610,37095.33,36655.61,C9511700,166339.33,15346.2,NG,1,1
155,TXN0000155,DEBIT,58.63,C2514923,192241.24,192182.61,C9507186,179175.35,89946.74,CN,23,0
156,TXN0000156,DEBIT,10214.35,C4158134,302502.92,292288.57,C6394323,90104.62,162193.36,RU,1,0
157,TXN0000157,DEBIT,631.23,C2414808,323063.55,322432.32,C9464927,87551.65,87884.36,US,22,0
158,TXN0000158,CASH_OUT,22.59,C3663319,186425.99,186403.4,C7105194,135779.54,10473.1,US,13,0
159,TXN0000159,CASH_OUT,909.69,C6614484,164845.38,163935.69,C2105817,144746.73,131312.82,RU,12,0
160,TXN0000160,CASH_IN,34.84,C3522845,40750.99,40716.15,C6592886,62046.35,131210.94,BR,11,0
161,TXN0000161,CASH_OUT,1181.06,C3163449,154790.94,153609.88,C2421349,134023.28,165791.79,US,10,0
162,TXN0000162,CASH_OUT,2482.92,C9831414,323012.41,320529.49,C2567880,61773.21,190233.86,NG,11,1
163,TXN0000163,TRANSFER,47.4,C9158272,113271.52,113224.12000000001,C4221313,157624.03,101537.94,US,2,0
164,TXN0000164,CASH_OUT,1680.34,C9833734,330964.62,329284.27999999997,C1633297,75343.97,32449.44,DE,19,0
165,TXN0000165,DEBIT,558.67,C3777286,21846.21,21287.54,C8342941,47506.04,88839.74,US,23,0
166,TXN0000166,PAYMENT,1266.64,C8531761,267005.57,265738.93,M4925917,180794.87,38803.24,US,15,0
167,TXN0000167,CASH_OUT,10868.09,C8391997,384719.28,373851.19,C8745704,193253.63,163378.25,GB,16,0
168,TXN0000168,DEBIT,149.79,C3321942,26089.9,25940.11,C5194357,110908.15,20517.95,RU,11,0
169,TXN0000169,DEBIT,54.19,C3091745,41937.56,41883.369999999995,C5782563,181061.24,29469.73,US,14,0
170,TXN0000170,TRANSFER,41.3,C4725179,442314.89,442273.59,C8568671,100401.42,47155.61,UA,13,0
171,TXN0000171,CASH_IN,47.86,C7289990,14093.77,14045.91,C4767135,129992.14,158276.13,UA,22,0
172,TXN0000172,PAYMENT,209.72,C5813037,348035.99,347826.27,M8926478,93822.03,123069.65,US,22,0
173,TXN0000173,CASH_IN,484.11,C1318832,107827.37,107343.26,C5293691,121776.02,84650.95,US,23,0
174,TXN0000174,DEBIT,425.55,C4986941,60924.17,60498.619999999995,C6052478,158779.82,91422.72,US,20,0
175,TXN0000175,PAYMENT,1279.68,C9385742,8217.68,6938.0,M9993490,143708.87,58254.4,RU,7,0
176,TXN0000176,PAYMENT,251.14,C6919270,285331.86,285080.72,M5035998,17122.79,194930.9,US,21,0
177,TXN0000177,PAYMENT,4478.61,C9825812,393206.17,388727.56,M9511546,78090.75,94027.02,RU,0,0
178,TXN0000178,CASH_OUT,144.13,C7262974,373658.3,373514.17,C5255545,146588.2,125651.39,US,2,0
179,TXN0000179,DEBIT,56406.42,C6578736,22167.84,0.0,C3238241,35017.83,155828.52,RU,20,0
180,TXN0000180,TRANSFER,855.2,C9028420,405748.84,404893.64,C4058117,40318.2,158221.84,US,14,0
181,TXN0000181,DEBIT,44.07,C6294819,257691.79,257647.72,C6202210,94679.95,7324.15,KE,17,0
182,TXN0000182,CASH_OUT,28.74,C5800144,431069.27,431040.53,C6989032,24895.0,73603.83,US,20,0
183,TXN0000183,DEBIT,642.23,C8377556,169518.31,168876.08,C7486822,99504.68,184862.09,US,22,0
184,TXN0000184,CASH_OUT,156.5,C2385991,39463.5,39307.0,C8121922,64242.29,16013.78,CN,5,0
185,TXN0000185,CASH_OUT,1020.45,C6142147,301310.81,300290.36,C8481225,89425.93,145362.88,NG,22,0
186,TXN0000186,CASH_IN,630.48,C8297090,319734.66,319104.18,C5606274,15008.23,127502.51,GB,1,0
187,TXN0000187,TRANSFER,211.52,C3684131,71389.73,71178.20999999999,C1522452,13446.67,155703.07,CN,14,0
188,TXN0000188,TRANSFER,44.99,C7423230,302547.41,302502.42,C1543335,152616.89,114784.36,BR,11,0
189,TXN0000189,CASH_OUT,11.83,C7677903,324780.37,324768.54,C6274512,37209.61,103549.05,US,3,0
190,TXN0000190,CASH_IN,100.18,C2975701,387482.24,387382.06,C5391883,199273.02,57115.38,MX,6,0
191,TXN0000191,CASH_IN,1356.68,C9240971,61318.71,59962.03,C4358435,34531.27,142673.98,DE,14,0
192,TXN0000192,CASH_IN,375.47,C6361793,354770.24,354394.77,C6828829,178266.34,170272.41,RU,9,0
193,TXN0000193,CASH_OUT,20.26,C3920762,254377.87,254357.61,C7064832,47347.24,98804.39,US,6,0
194,TXN0000194,TRANSFER,345.97,C7189302,401830.86,401484.89,C8841768,13149.62,79632.0,RU,19,0
195,TXN0000195,CASH_OUT,528.81,C9030667,205397.56,204868.75,C9819709,194475.95,128467.72,NG,18,0
196,TXN0000196,TRANSFER,41.77,C9679860,64167.31,64125.54,C6779998,36392.63,193252.92,DE,17,0
197,TXN0000197,TRANSFER,332.77,C1929673,259051.07,258718.30000000002,C3083077,141866.43,69204.62,US,5,0
198,TXN0000198,CASH_IN,274.9,C5765539,125302.65,125027.75,C2323049,54890.21,125004.47,CN,17,0
199,TXN0000199,CASH_OUT,24.88,C2567468,320493.71,320468.83,C9431778,131746.57,144126.55,CN,18,0
200,TXN0000200,CASH_OUT,500.48,C1691125,40611.43,40110.95,C1476028,42161.68,114427.44,KE,18,0
201,TXN0000201,CASH_OUT,751.12,C1508113,444498.44,443747.32,C9355692,96588.96,160937.63,RU,20,0
202,TXN0000202,CASH_OUT,2134.75,C5990112,36486.51,34351.76,C8609207,92888.43,68038.51,US,14,0
203,TXN0000203,PAYMENT,2013.45,C6357240,487687.06,485673.61,M6794356,102996.03,21236.79,US,11,0
204,TXN0000204,PAYMENT,15.56,C3055576,224798.01,224782.45,M5487430,58042.4,76829.97,US,1,0
205,TXN0000205,CASH_OUT,37.5,C5165284,406738.92,406701.42,C3679315,152624.28,99653.11,UA,23,0
206,TXN0000206,CASH_OUT,685.45,C9367799,248685.14,247999.69,C6176450,193337.33,43028.88,US,12,0
207,TXN0000207,TRANSFER,683.74,C1847927,247447.1,246763.36000000002,C5720376,57149.68,1635.48,UA,20,0
208,TXN0000208,PAYMENT,685.46,C3247055,363754.03,363068.57,M5437118,9048.48,10231.54,GB,11,0
209,TXN0000209,CASH_OUT,543325.02,C7082139,36765.87,0.0,C5841933,197818.14,136079.73,RU,17,0
210,TXN0000210,PAYMENT,766.46,C2622046,186599.17,185832.71000000002,M7608607,187789.71,150993.03,KE,17,0
211,TXN0000211,PAYMENT,2371.15,C9541658,250038.95,247667.80000000002,M7734157,142718.37,160793.17,US,4,0
212,TXN0000212,CASH_OUT,1649.13,C3498809,69890.49,68241.36,C9648751,198123.15,147863.87,UA,10,0
213,TXN0000213,PAYMENT,900.35,C6643410,414144.69,413244.34,M9511333,112584.85,94978.52,RU,22,0
214,TXN0000214,PAYMENT,130.25,C6557278,489949.02,489818.77,M2838859,174419.82,125852.1,CN,23,0
215,TXN0000215,CASH_OUT,1116.48,C5454861,360700.06,359583.58,C4817541,144236.57,154921.23,CN,5,0
216,TXN0000216,TRANSFER,52.16,C5063384,286285.14,286232.98000000004,C1529665,62738.5,30286.25,MX,6,0
217,TXN0000217,CASH_OUT,152.38,C7884990,387486.15,387333.77,C9419134,141155.05,103736.64,UA,23,0
218,TXN0000218,CASH_OUT,92.69,C9025733,188412.39,188319.7,C9816043,68465.4,70857.4,KE,14,0
219,TXN0000219,DEBIT,288.23,C5435261,96132.08,95843.85,C9123194,59699.83,188297.11,US,17,0
220,TXN0000220,CASH_IN,25067.24,C5848684,345119.96,320052.72000000003,C4477544,69760.63,186740.07,RU,15,0
221,TXN0000221,DEBIT,5.84,C5587856,60937.05,60931.21000000001,C5828304,179152.09,78906.49,BR,12,0
222,TXN0000222,TRANSFER,965.38,C3457461,21033.24,20067.86,C5872986,88475.22,51288.8,KE,2,0
223,TXN0000223,TRANSFER,9.72,C4390138,466511.97,466502.25,C5548852,148178.2,47856.41,BR,4,0
224,TXN0000224,PAYMENT,95.21,C9909397,318972.29,318877.07999999996,M4786141,66058.72,94480.78,US,13,0
225,TXN0000225,CASH_OUT,2160.08,C3306314,482259.38,480099.3,C1086930,187006.42,175679.92,KE,5,0
226,TXN0000226,TRANSFER,278.26,C4346315,160583.85,160305.59,C5819172,46444.04,147737.3,BR,2,0
227,TXN0000227,DEBIT,28.35,C1625760,208942.49,208914.13999999998,C3937099,199434.36,79398.91,DE,1,0
228,TXN0000228,TRANSFER,58.52,C5856449,4633.58,4575.0599999999995,C1628578,67008.42,90869.82,CN,3,0
229,TXN0000229,CASH_OUT,952.6,C9796605,444629.98,443677.38,C9286475,38562.28,22529.35,US,16,0
230,TXN0000230,PAYMENT,56.78,C8699307,359299.09,359242.31,M5316188,158153.53,113556.24,US,10,0
231,TXN0000231,DEBIT,377.25,C3944316,413494.91,413117.66,C7802999,80166.65,19077.02,RU,2,0
232,TXN0000232,CASH_IN,268.04,C9010350,467912.69,467644.65,C6429135,47104.25,150751.33,US,12,0
233,TXN0000233,CASH_IN,66.47,C6065810,130776.58,130710.11,C1191859,12424.87,23644.97,US,7,0
234,TXN0000234,TRANSFER,17816.64,C7801762,461553.01,443736.37,C9430894,127742.27,188127.12,UA,9,0
235,TXN0000235,TRANSFER,869.43,C4705235,478680.27,477810.84,C4676367,121147.79,83169.12,NG,14,0
236,TXN0000236,CASH_OUT,4.26,C8899184,380929.81,380925.55,C4664338,16374.06,89349.6,BR,19,0
237,TXN0000237,CASH_OUT,355.28,C2310346,30879.02,30523.74,C2882551,107332.03,32907.43,RU,16,0
238,TXN0000238,DEBIT,65.13,C8412854,340147.62,340082.49,C2950183,18188.33,102075.07,MX,15,0
239,TXN0000239,DEBIT,1345.97,C8607331,256623.92,255277.95,C3213658,111759.44,134553.54,NG,1,0
240,TXN0000240,TRANSFER,50.15,C1365247,127228.61,127178.46,C7642917,9057.96,68905.77,US,6,0
